№;Производитель;Наименование поставщика;Контактное лицо;Адрес производства;Основная продукция;Продукция;Комментарий;Сайт;Latitude;Longitude
1;Да;СК ЖБИ;"8-951-715-34-14  Ольга
asileva-olga@mail.ru
8(951)690-21-23 Людмила
ludmilastroy@mail.ru
8-950-702-34-95 Любовь
liuba.sirova@yandex.ru";Смоленская обл., г.Сафоново, ул. Горняцкая, д.58, стр. 1;Инженерка;"Инженерка
Дорожка
ВП, ВС, В
ККСр
ОП
Коллекторы
ДПО
ФБС
ПЯП
ТПФэ
Лотки электротехнические
Приставки ПТ
Плиты П
Лотки Л
Лотки прикромочные
Лотки телескопические";"ККСр и большие ВП только здесь

Инженерка, Дорожка, ВП, ВС, В, ККСр, ОП, Коллекторы, ДПО, ФБС, ФЛ, ПЯП, ТПФэ, Лотки электротехнические, прикромочные, телескопические, Л ; Плиты П, Приставки ПТ";https://sk-gbi67.ru/;55.124738;33.198382
2;Да / Нет;ИП Аверченков А.В.;"8-910-117-58-42 Артём
1gbk@mail.ru
8-903-698-02-10
8-908-283-77-48 Евгений";Смоленская обл., г.Сафоново, ул. Октябрьская, 16;Инженерка;"Инженерка
ВП, ВС, В
ККСр
ОП
ОПТ
Коллекторы
ФБС
Лотки ЛК
Плиты ПТ
Нестандарт";Инженерка, ВП, ВС, В, ККСр, ОП, ОПТ, Коллекторы, ФБС, Лотки ЛК, Плиты ПТ, Нестандарт;нет;55.099299;33.239857
3;Да;ЖБК;"8-961-135-88-08 Александр
gbi12@mail.ru";Смоленская обл., г.Сафоново, ул. Промышленная, 2А;Инженерка;"Инженерка
ППЛ
ОП
ВП, ВС, В
УГ
Коллекторы";"Сафоново, Промышленная, 2А

Инженерка, ППЛ, ОП, ВП, ВС, В, Коллекторы, УГ";нет;55.119811; 33.220858
4;Да;Строй Транс / ООО Теплострой;"8-48142-2-50-77  Анна/Инна
101205_09@mail.ru
stroitrans67@mail.ru
8-951-713-19-69-Алексей
8-951-713-19-37-Валерий ему звонить";Смоленская обл., г.Сафоново, ул. Горняцкая ул., 18, стр. 5;Инженерка;"Инженерка
ВП, ВС, В
ПЯП
Ремонтная вставка
ККСр
Коллекторы";Инженерка, ВП, ВС, В, ПЯП, Ремонтная вставка, ККСр, Коллекторы,кольца и сопутствующее;https://teplostroy-gbi.ru/;55.126297;33.216932
5;Да;"ООО ""РОДНИК"" / Завод ""РОДНИК"" / Завод ""ССК"" / Завод ""ТРОЯ""";Денис +7-900-224-00-44;Смоленская область, Сафоновский муниципальный округ, М-1 Беларусь, 297-й километр;Инженерка;"Инженерка
ППЛ
Дорожка
ВП, ВС, В
ККСр
ОП
Коллекторы
Перемычки
Ступени ЛС
Лотки Л
Лотки ЛК
Плиты П
Плиты ПТ
ФБС
ПО
Плиты перекрытия ПК
Лестничные марши
Лестничные площадки
Лотки телескопические";Инженерка, ППЛ, Дорожка, ВП, ВС, В, ККСр, ОП, Коллекторы, Перемычки, Прикромочные лотки, ЛС, Лотки Л, Лотки ЛК, Плиты П, Плиты ПТ, ПО, Плиты ПК, ФБС, своя доставка;https://ssk67.ru/;55.144336;33.256818
6;Нет;Сервисстрой;"8-910-110-53-55 Константин
order@line-gbi.ru
s8900880@gmail.com 
ask@line-gbi.ru
8-903-890-08-80 Беседин Сергей";Смоленская область, Сафоновский район, деревня Мишенино;Лотки;"Звенья
Портальные стенки
Откосные стенки
Блоки фундамента
Плиты фундамента
Фундаментный блок
Фундаментная плита
Фундаменты
Трубы
Лекальные блоки
Лотки телескопические
ТПФЭ
Опоры
Блоки упора
Ригели
ВП, ВС
Коллекторы
НКЛ
Лотки Л
Плиты П
Лотки ЛК
Плиты ПТ
ПО
ФБС";Звенья, Портальные стенки, Откосные стенки, Блоки фундамента, Плиты фундамента, Фундаментная плита, Фундаменты, Трубы, Лекальные блоки, Прикромочные лотки, ТПФЭ, Опоры, Блоки упора, Ригели, ВП, ВС, Коллекторы, НКЛ, Лотки Л, Плиты П, Лотки ЛК, Плиты ПТ, ПО, ФБС;нет;55.141686;33.253054
7;Да;Мамонтовский завод ЖБИ;"8 (999)539-98-89 Виктор Брагинов
8 (915)649-20-28
zsmoffice@yandex.ru
m.zavod-gbi@mail.ru";Смоленская область, г. Сафоново, ул. Промышленная, д.12;Лотки;"ВП, ВС, В
Коллекторы
Лотки Л
Плиты П
Лотки ЛК
Плиты ПТ
ОП
Забор ПО-2";ВП, ВС, В, Коллекторы, Лотки Л, Плиты П, Лотки ЛК, Плиты ПТ, ОП, Забор ПО-2;http://www.gbi-mamontov.ru/;55.115666;33.223481
8;Да;Малиновский комбинат ЖБИ;"8-903-844-75-02 Акимов Юрий Алексеевич
8 (4872) 71-40-65
y.akimov@komenstroy.ru";Тульская область, Ленинский район, д. Малиновка, 23;Лотки водоотводные;"Лотки водоотводные
Лотки МШЛ, МПЛ
Лотки телескопические
Лотки прикромочные";Лотки водоотводные, Лотки МШЛ, МПЛ, телескопические, прикромочные;https://mkzhbi.ru/;54.295868;37.320167
9;Да;Одинец;"8 (495) 118-40-51 ; 8 (495) 960-14-40
zakaz@zavod-odinec.ru";Московская область, Одинцовский городской округ, с. Немчиновка, Рублёвский проезд, ст18 ;Трубы;"Трубы
Звенья
Трубы для микротоннелирования";Трубы, Звенья, Трубы для микротоннелирования;https://zavod-odinec.ru/;55.710384;37.352691
10;Да;Первая Бетонная Компания (ЗАО Бетон);"8-968-062-53-00 Юлия
zakazpbk@mail.ru

8-903-669-16-54 Сергей
8-925-916-30-38
zaobeton@mail.ru

8-903-668-60-10 Мария";Московская Область, Мытищи, г. Мытищи, Силикатная, 38с2;Трубы;"Трубы
Трубы для микротоннелирования
Сваи
Плитка
Бордюр";Трубы, Трубы для микротоннелирования, Сваи, Плитка, Бордюр;нет;55.945897;37.785261
